slip_angle_rad,slip_angle_deg,pacejka_fy_magnitude_over_fz,linear_fy_magnitude_over_fz,linear_error
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.235987755982987749e-06,2.999999999999999737e-04,9.415283222567407849e-05,8.941955327875711140e-05,-4.733278946916967089e-06
1.047197551196597550e-05,5.999999999999999474e-04,1.883056608630687980e-04,1.788391065575142228e-04,-9.466554305554575202e-06
1.570796326794896409e-05,8.999999999999998669e-04,2.824584823239053959e-04,2.682586598362713477e-04,-1.419982248763404812e-05
2.094395102393195100e-05,1.199999999999999895e-03,3.766112930199064647e-04,3.576782131150284456e-04,-1.893307990487801910e-05
2.617993877991493790e-05,1.499999999999999814e-03,4.707640893627961149e-04,4.470977663937855434e-04,-2.366632296901057149e-05
3.141592653589792819e-05,1.799999999999999734e-03,5.649168677643011133e-04,5.365173196725426955e-04,-2.839954809175841786e-05
3.665191429188091170e-05,2.099999999999999437e-03,6.590696246361510456e-04,6.259368729512997933e-04,-3.313275168485125231e-05
4.188790204786390199e-05,2.399999999999999790e-03,7.532223563900792380e-04,7.153564262300568912e-04,-3.786593016002234684e-05
4.712388980384689228e-05,2.699999999999999709e-03,8.473750594378235161e-04,8.047759795088140974e-04,-4.259907992900941864e-05
5.235987755982987580e-05,2.999999999999999629e-03,9.415277301911256086e-04,8.941955327875710869e-04,-4.733219740355452173e-05
5.759586531581286609e-05,3.299999999999999548e-03,1.035680365061733424e-03,9.836150860663282931e-04,-5.206527899540513114e-05
6.283185307179585638e-05,3.599999999999999468e-03,1.129832960461401269e-03,1.073034639345085391e-03,-5.679832111631587764e-05
6.806784082777884667e-05,3.899999999999999821e-03,1.223985512801889410e-03,1.162454192623842489e-03,-6.153132017804692142e-05
7.330382858376182341e-05,4.199999999999998873e-03,1.318138018494964623e-03,1.251873745902599587e-03,-6.626427259236503629e-05
7.853981633974481370e-05,4.499999999999998793e-03,1.412290473952403222e-03,1.341293299181356685e-03,-7.099717477104653708e-05
8.377580409572780399e-05,4.799999999999999580e-03,1.506442875585988243e-03,1.430712852460113782e-03,-7.573002312587446064e-05
8.901179185171079428e-05,5.099999999999999499e-03,1.600595219807514000e-03,1.520132405738870880e-03,-8.046281406864311952e-05
9.424777960769378457e-05,5.399999999999999419e-03,1.694747503028781526e-03,1.609551959017628195e-03,-8.519554401115333152e-05
9.948376736367676131e-05,5.699999999999998471e-03,1.788899721661604001e-03,1.698971512296385076e-03,-8.992820936521892482e-05
1.047197551196597516e-04,5.999999999999999258e-03,1.883051872117805659e-03,1.788391065575142174e-03,-9.466080654266348544e-05
1.099557428756427419e-04,6.299999999999999177e-03,1.977203950809220279e-03,1.877810618853899272e-03,-9.939333195532100776e-05
1.151917306316257322e-04,6.599999999999999097e-03,2.071355954147696167e-03,1.967230172132656586e-03,-1.041257820150395808e-04
1.204277183876087225e-04,6.899999999999999016e-03,2.165507878545092687e-03,2.056649725411413467e-03,-1.088581531336792196e-04
1.256637061435917128e-04,7.199999999999998936e-03,2.259659720413282648e-03,2.146069278690170782e-03,-1.135904417231118659e-04
1.308996938995747030e-04,7.499999999999999722e-03,2.353811476164152736e-03,2.235488831968928097e-03,-1.183226441952246397e-04
1.361356816555576933e-04,7.799999999999999642e-03,2.447963142209604384e-03,2.324908385247684978e-03,-1.230547569619194065e-04
1.413716694115406565e-04,8.099999999999997827e-03,2.542114714961553334e-03,2.414327938526441859e-03,-1.277867764351114759e-04
1.466076571675236468e-04,8.399999999999997746e-03,2.636266190831932244e-03,2.503747491805199173e-03,-1.325186990267330708e-04
1.518436449235066371e-04,8.699999999999997666e-03,2.730417566232689816e-03,2.593167045083956054e-03,-1.372505211487337617e-04
1.570796326794896274e-04,8.999999999999997585e-03,2.824568837575789932e-03,2.682586598362713369e-03,-1.419822392130765630e-04
1.623156204354726177e-04,9.299999999999999239e-03,2.918720001273215989e-03,2.772006151641470250e-03,-1.467138496317457394e-04
1.675516081914556080e-04,9.599999999999999159e-03,3.012871053736967866e-03,2.861425704920227565e-03,-1.514453488167403009e-04
1.727875959474385983e-04,9.899999999999999079e-03,3.107021991379064520e-03,2.950845258198984879e-03,-1.561767331800796403e-04
1.780235837034215886e-04,1.019999999999999900e-02,3.201172810611545728e-03,3.040264811477741760e-03,-1.609079991338039674e-04
1.832595714594045788e-04,1.049999999999999892e-02,3.295323507846467746e-03,3.129684364756499075e-03,-1.656391430899686705e-04
1.884955592153875691e-04,1.079999999999999884e-02,3.389474079495912850e-03,3.219103918035256390e-03,-1.703701614606564600e-04
1.937315469713705594e-04,1.109999999999999876e-02,3.483624521971977195e-03,3.308523471314013271e-03,-1.751010506579639241e-04
1.989675347273535226e-04,1.139999999999999694e-02,3.577774831686784257e-03,3.397943024592770152e-03,-1.798318070940141053e-04
2.042035224833365129e-04,1.169999999999999686e-02,3.671925005052477462e-03,3.487362577871527033e-03,-1.845624271809504294e-04
2.094395102393195032e-04,1.199999999999999852e-02,3.766075038481224088e-03,3.576782131150284347e-03,-1.892929073309397407e-04
2.146754979953024935e-04,1.229999999999999843e-02,3.860224928385213531e-03,3.666201684429041662e-03,-1.940232439561718689e-04
