slip_ratio,pacejka_fx_over_fz,linear_fx_over_fz,linear_error
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000082e-05,3.472941136037771548e-04,3.289187393068909726e-04,-1.837537429688618218e-05
2.000000000000000164e-05,6.945881523502320373e-04,6.578374786137819452e-04,-3.675067373645009208e-05
3.000000000000000415e-05,1.041882041382116318e-03,9.867562179206729178e-04,-5.512582346144339999e-05
4.000000000000000327e-05,1.389175705842329552e-03,1.315674957227563890e-03,-7.350074861476566142e-05
5.000000000000000240e-05,1.736469070873992038e-03,1.644593696534454863e-03,-9.187537433953717539e-05
6.000000000000000830e-05,2.083762061620520606e-03,1.973512435841345836e-03,-1.102496257791747702e-04
7.000000000000000742e-05,2.431054603225700928e-03,2.302431175148236808e-03,-1.286234280774641199e-04
8.000000000000000654e-05,2.778346620833762118e-03,2.631349914455127781e-03,-1.469967063786343370e-04
9.000000000000000567e-05,3.125638039589448067e-03,2.960268653762018753e-03,-1.653693858274293133e-04
1.000000000000000048e-04,3.472928784638098110e-03,3.289187393068909726e-03,-1.837413915691883844e-04
1.100000000000000039e-04,3.820218781125712081e-03,3.618106132375800699e-03,-2.021126487499113819e-04
1.200000000000000166e-04,4.167507954199030536e-03,3.947024871682691671e-03,-2.204830825163388644e-04
1.300000000000000157e-04,4.514796229005605017e-03,4.275943610989582644e-03,-2.388526180160223736e-04
1.400000000000000148e-04,4.862083530693875680e-03,4.604862350296473616e-03,-2.572211803974020633e-04
1.500000000000000140e-04,5.209369784413238509e-03,4.933781089603364589e-03,-2.755886948098739200e-04
1.600000000000000131e-04,5.556654915314128591e-03,5.262699828910255562e-03,-2.939550864038730296e-04
1.700000000000000122e-04,5.903938848548086031e-03,5.591618568217146534e-03,-3.123202803309394968e-04
1.800000000000000113e-04,6.251221509267831412e-03,5.920537307524037507e-03,-3.306842017437939055e-04
1.900000000000000105e-04,6.598502822627343861e-03,6.249456046830928480e-03,-3.490467757964153817e-04
2.000000000000000096e-04,6.945782713781931302e-03,6.578374786137819452e-03,-3.674079276441118494e-04
2.100000000000000087e-04,7.293061107888301579e-03,6.907293525444710425e-03,-3.857675824435911546e-04
2.200000000000000078e-04,7.640337930104639658e-03,7.236212264751601397e-03,-4.041256653530382603e-04
2.300000000000000070e-04,7.987613105590688281e-03,7.565131004058491503e-03,-4.224821015321967785e-04
2.400000000000000332e-04,8.334886559507809559e-03,7.894049743365383343e-03,-4.408368161424262160e-04
2.500000000000000052e-04,8.682158217019059557e-03,8.222968482672274315e-03,-4.591897343467852416e-04
2.600000000000000314e-04,9.029428003289274168e-03,8.551887221979165288e-03,-4.775407813101088805e-04
2.700000000000000035e-04,9.376695843485133297e-03,8.880805961286056260e-03,-4.958898821990770367e-04
2.800000000000000297e-04,9.723961662775235451e-03,9.209724700592947233e-03,-5.142369621822882181e-04
2.900000000000000017e-04,1.007122538633016713e-02,9.538643439899838206e-03,-5.325819464303289258e-04
3.000000000000000279e-04,1.041848693932260171e-02,9.867562179206729178e-03,-5.509247601158725333e-04
3.099999999999999999e-04,1.076574624692732893e-02,1.019648091851361842e-02,-5.692653284137105113e-04
3.200000000000000262e-04,1.111300323432137110e-02,1.052539965782051112e-02,-5.876035765008599809e-04
3.300000000000000524e-04,1.146025782668402999e-02,1.085431839712740210e-02,-6.059394295566278982e-04
3.400000000000000244e-04,1.180750994919697351e-02,1.118323713643429307e-02,-6.242728127626804430e-04
3.500000000000000507e-04,1.215475952704430686e-02,1.151215587574118404e-02,-6.426036513031228165e-04
3.600000000000000227e-04,1.250200648541264538e-02,1.184107461504807501e-02,-6.609318703645703647e-04
3.700000000000000489e-04,1.284925074949118742e-02,1.216999335435496599e-02,-6.792573951362214368e-04
3.800000000000000209e-04,1.319649224447178894e-02,1.249891209366185696e-02,-6.975801508099319787e-04
3.900000000000000471e-04,1.354373089554903459e-02,1.282783083296874793e-02,-7.159000625802866558e-04
4.000000000000000192e-04,1.389096662792031582e-02,1.315674957227563890e-02,-7.342170556446769164e-04
4.100000000000000454e-04,1.423819936678590893e-02,1.348566831158252988e-02,-7.525310552033790540e-04
4.200000000000000174e-04,1.458542903734903577e-02,1.381458705088942085e-02,-7.708419864596149224e-04
4.300000000000000436e-04,1.493265556481594356e-02,1.414350579019631182e-02,-7.891497746196317331e-04
4.400000000000000157e-04,1.527987887439598638e-02,1.447242452950320279e-02,-8.074543448927835876e-04
4.500000000000000419e-04,1.562709889130169116e-02,1.480134326881009377e-02,-8.257556224915973964e-04
4.600000000000000139e-04,1.597431554074881660e-02,1.513026200811698301e-02,-8.440535326318335946e-04
4.700000000000000401e-04,1.632152874795646594e-02,1.545918074742387571e-02,-8.623480005325902253e-04
4.800000000000000664e-04,1.666873843814713554e-02,1.578809948673076669e-02,-8.806389514163688592e-04
4.900000000000000926e-04,1.701594453654676695e-02,1.611701822603765766e-02,-8.989263105091092887e-04
5.000000000000000104e-04,1.736314696838485785e-02,1.644593696534454863e-02,-9.172100030403092241e-04
5.100000000000000366e-04,1.771034565889453155e-02,1.677485570465143960e-02,-9.354899542430919479e-04
5.200000000000000629e-04,1.805754053331258546e-02,1.710377444395833058e-02,-9.537660893542548868e-04
5.300000000000000891e-04,1.840473151687959177e-02,1.743269318326522155e-02,-9.720383336143702258e-04
5.400000000000000069e-04,1.875191853483995294e-02,1.776161192257211252e-02,-9.903066122678404193e-04
5.500000000000000331e-04,1.909910151244198495e-02,1.809053066187900349e-02,-1.008570850562981458e-03
5.600000000000000594e-04,1.944628037493797285e-02,1.841944940118589447e-02,-1.026830973752078380e-03
5.700000000000000856e-04,1.979345504758429214e-02,1.874836814049278544e-02,-1.045086907091506701e-03
5.800000000000000034e-04,2.014062545564141576e-02,1.907728687979967641e-02,-1.063338575841739353e-03
5.900000000000000296e-04,2.048779152437404244e-02,1.940620561910656738e-02,-1.081585905267475056e-03
6.000000000000000559e-04,2.083495317905115218e-02,1.973512435841345836e-02,-1.099828820637693827e-03
6.100000000000000821e-04,2.118211034494605488e-02,2.006404309772034933e-02,-1.118067247225705552e-03
6.199999999999999999e-04,2.152926294733650825e-02,2.039296183702723683e-02,-1.136301110309271417e-03
6.300000000000000261e-04,2.187641091150474559e-02,2.072188057633413127e-02,-1.154530335170614319e-03
6.400000000000000524e-04,2.222355416273760417e-02,2.105079931564102225e-02,-1.172754847096581926e-03
6.500000000000000786e-04,2.257069262632654255e-02,2.137971805494791322e-02,-1.190974571378629332e-03
6.600000000000001048e-04,2.291782622756775509e-02,2.170863679425480419e-02,-1.209189433312950895e-03
6.700000000000000226e-04,2.326495489176220663e-02,2.203755553356169516e-02,-1.227399358200511464e-03
6.800000000000000488e-04,2.361207854421576088e-02,2.236647427286858614e-02,-1.245604271347174746e-03
6.900000000000000751e-04,2.395919711023920123e-02,2.269539301217547711e-02,-1.263804098063724124e-03
7.000000000000001013e-04,2.430631051514832788e-02,2.302431175148236808e-02,-1.281998763665959801e-03
7.100000000000000191e-04,2.465341868426402031e-02,2.335323049078925906e-02,-1.300188193474761250e-03
7.200000000000000453e-04,2.500052154291234133e-02,2.368214923009615003e-02,-1.318372312816191300e-03
7.300000000000000716e-04,2.534761901642457183e-02,2.401106796940304100e-02,-1.336551047021530825e-03
7.400000000000000978e-04,2.569471103013730440e-02,2.433998670870993197e-02,-1.354724321427372424e-03
7.500000000000000156e-04,2.604179750939249888e-02,2.466890544801681948e-02,-1.372892061375679401e-03
