slip_angle_deg,slip_angle_rad,normalized_fy
-3.000000000000000000e+01,-5.235987755982988157e-01,9.580989347889686814e-01
-2.994000000000000128e+01,-5.225515780471022831e-01,9.583076735051307971e-01
-2.987999999999999901e+01,-5.215043804959056395e-01,9.585171312496432172e-01
-2.982000000000000028e+01,-5.204571829447091069e-01,9.587273110983554059e-01
-2.976000000000000156e+01,-5.194099853935124633e-01,9.589382161372890234e-01
-2.969999999999999929e+01,-5.183627878423158197e-01,9.591498494625522175e-01
-2.964000000000000057e+01,-5.173155902911192872e-01,9.593622141802480296e-01
-2.957999999999999829e+01,-5.162683927399226436e-01,9.595753134063806922e-01
-2.951999999999999957e+01,-5.152211951887261110e-01,9.597891502667569297e-01
-2.946000000000000085e+01,-5.141739976375294674e-01,9.600037278968828192e-01
-2.939999999999999858e+01,-5.131268000863328238e-01,9.602190494418574307e-01
-2.933999999999999986e+01,-5.120796025351362912e-01,9.604351180562620272e-01
-2.928000000000000114e+01,-5.110324049839397587e-01,9.606519369040442680e-01
-2.921999999999999886e+01,-5.099852074327431151e-01,9.608695091583984160e-01
-2.916000000000000014e+01,-5.089380098815464715e-01,9.610878380016405487e-01
-2.910000000000000142e+01,-5.078908123303499389e-01,9.613069266250793277e-01
-2.903999999999999915e+01,-5.068436147791532953e-01,9.615267782288819953e-01
-2.898000000000000043e+01,-5.057964172279567627e-01,9.617473960219351525e-01
-2.892000000000000171e+01,-5.047492196767601191e-01,9.619687832217002077e-01
-2.885999999999999943e+01,-5.037020221255634755e-01,9.621909430540643848e-01
-2.880000000000000071e+01,-5.026548245743669430e-01,9.624138787531848482e-01
-2.873999999999999844e+01,-5.016076270231702994e-01,9.626375935613300516e-01
-2.867999999999999972e+01,-5.005604294719736558e-01,9.628620907287120945e-01
-2.862000000000000099e+01,-4.995132319207771232e-01,9.630873735133155256e-01
-2.855999999999999872e+01,-4.984660343695804796e-01,9.633134451807197074e-01
-2.850000000000000000e+01,-4.974188368183839470e-01,9.635403090039152962e-01
-2.844000000000000128e+01,-4.963716392671873590e-01,9.637679682631133948e-01
-2.837999999999999901e+01,-4.953244417159907154e-01,9.639964262455503752e-01
-2.832000000000000028e+01,-4.942772441647941273e-01,9.642256862452838195e-01
-2.826000000000000156e+01,-4.932300466135975392e-01,9.644557515629832434e-01
-2.819999999999999929e+01,-4.921828490624008956e-01,9.646866255057144901e-01
-2.814000000000000057e+01,-4.911356515112043630e-01,9.649183113867145778e-01
-2.807999999999999829e+01,-4.900884539600077194e-01,9.651508125251626602e-01
-2.801999999999999957e+01,-4.890412564088111314e-01,9.653841322459412178e-01
-2.796000000000000085e+01,-4.879940588576145433e-01,9.656182738793895881e-01
-2.789999999999999858e+01,-4.869468613064178997e-01,9.658532407610521675e-01
-2.783999999999999986e+01,-4.858996637552213671e-01,9.660890362314156210e-01
-2.778000000000000114e+01,-4.848524662040247790e-01,9.663256636356403195e-01
-2.771999999999999886e+01,-4.838052686528281354e-01,9.665631263232821180e-01
-2.766000000000000014e+01,-4.827580711016315473e-01,9.668014276480056957e-01
-2.760000000000000142e+01,-4.817108735504349593e-01,9.670405709672900141e-01
-2.753999999999999915e+01,-4.806636759992383157e-01,9.672805596421234497e-01
-2.748000000000000043e+01,-4.796164784480417831e-01,9.675213970366912664e-01
-2.742000000000000171e+01,-4.785692808968451950e-01,9.677630865180520958e-01
-2.735999999999999943e+01,-4.775220833456485514e-01,9.680056314558063146e-01
-2.730000000000000071e+01,-4.764748857944519633e-01,9.682490352217532070e-01
-2.724000000000000199e+01,-4.754276882432554308e-01,9.684933011895382471e-01
-2.717999999999999972e+01,-4.743804906920587872e-01,9.687384327342913881e-01
-2.712000000000000099e+01,-4.733332931408621991e-01,9.689844332322525844e-01
-2.705999999999999872e+01,-4.722860955896655555e-01,9.692313060603882091e-01
-2.700000000000000000e+01,-4.712388980384689674e-01,9.694790545959948158e-01
-2.694000000000000128e+01,-4.701917004872723793e-01,9.697276822162926857e-01
-2.687999999999999901e+01,-4.691445029360757912e-01,9.699771922980071626e-01
-2.682000000000000028e+01,-4.680973053848792031e-01,9.702275882169382193e-01
-2.676000000000000156e+01,-4.670501078336826151e-01,9.704788733475167017e-01
-2.669999999999999929e+01,-4.660029102824859715e-01,9.707310510623500255e-01
-2.664000000000000057e+01,-4.649557127312893834e-01,9.709841247317519963e-01
-2.657999999999999829e+01,-4.639085151800927398e-01,9.712380977232631940e-01
-2.651999999999999957e+01,-4.628613176288962072e-01,9.714929734011539253e-01
-2.646000000000000085e+01,-4.618141200776996191e-01,9.717487551259166301e-01
-2.639999999999999858e+01,-4.607669225265029755e-01,9.720054462537415230e-01
-2.633999999999999986e+01,-4.597197249753063875e-01,9.722630501359791344e-01
-2.628000000000000114e+01,-4.586725274241097994e-01,9.725215701185873085e-01
-2.621999999999999886e+01,-4.576253298729132113e-01,9.727810095415635461e-01
-2.616000000000000014e+01,-4.565781323217166232e-01,9.730413717383612493e-01
-2.610000000000000142e+01,-4.555309347705200351e-01,9.733026600352895352e-01
-2.603999999999999915e+01,-4.544837372193233915e-01,9.735648777508971730e-01
-2.598000000000000043e+01,-4.534365396681268034e-01,9.738280281953396456e-01
-2.592000000000000171e+01,-4.523893421169302709e-01,9.740921146697292254e-01
-2.585999999999999943e+01,-4.513421445657336273e-01,9.743571404654666201e-01
-2.580000000000000071e+01,-4.502949470145370392e-01,9.746231088635550766e-01
-2.574000000000000199e+01,-4.492477494633404511e-01,9.748900231338957223e-01
-2.567999999999999972e+01,-4.482005519121438075e-01,9.751578865345644775e-01
-2.562000000000000099e+01,-4.471533543609472749e-01,9.754267023110682056e-01
-2.556000000000000227e+01,-4.461061568097506869e-01,9.756964736955829887e-01
-2.550000000000000000e+01,-4.450589592585540433e-01,9.759672039061694226e-01
-2.544000000000000128e+01,-4.440117617073574552e-01,9.762388961459693704e-01
-2.537999999999999901e+01,-4.429645641561608116e-01,9.765115536023802889e-01
-2.532000000000000028e+01,-4.419173666049642235e-01,9.767851794462067971e-01
-2.525999999999999801e+01,-4.408701690537676354e-01,9.770597768307913711e-01
-2.519999999999999929e+01,-4.398229715025710473e-01,9.773353488911209475e-01
-2.514000000000000057e+01,-4.387757739513744593e-01,9.776118987429101015e-01
-2.507999999999999829e+01,-4.377285764001778157e-01,9.778894294816601329e-01
-2.501999999999999957e+01,-4.366813788489812276e-01,9.781679441816938381e-01
-2.496000000000000085e+01,-4.356341812977846950e-01,9.784474458951637477e-01
-2.489999999999999858e+01,-4.345869837465880514e-01,9.787279376510357176e-01
-2.483999999999999986e+01,-4.335397861953914633e-01,9.790094224540447643e-01
-2.478000000000000114e+01,-4.324925886441948752e-01,9.792919032836248094e-01
-2.471999999999999886e+01,-4.314453910929982317e-01,9.795753830928093375e-01
-2.466000000000000014e+01,-4.303981935418016436e-01,9.798598648071036310e-01
-2.460000000000000142e+01,-4.293509959906051110e-01,9.801453513233289172e-01
-2.453999999999999915e+01,-4.283037984394084674e-01,9.804318455084343187e-01
-2.448000000000000043e+01,-4.272566008882118793e-01,9.807193501982802708e-01
-2.442000000000000171e+01,-4.262094033370152912e-01,9.810078681963882996e-01
-2.435999999999999943e+01,-4.251622057858186476e-01,9.812974022726607126e-01
-2.430000000000000071e+01,-4.241150082346221151e-01,9.815879551620645405e-01
-2.424000000000000199e+01,-4.230678106834255270e-01,9.818795295632846143e-01
-2.417999999999999972e+01,-4.220206131322288834e-01,9.821721281373388956e-01
-2.412000000000000099e+01,-4.209734155810322953e-01,9.824657535061604996e-01
-2.406000000000000227e+01,-4.199262180298357072e-01,9.827604082511417483e-01
-2.400000000000000000e+01,-4.188790204786391191e-01,9.830560949116425862e-01
-2.394000000000000128e+01,-4.178318229274425311e-01,9.833528159834576954e-01
-2.387999999999999901e+01,-4.167846253762458875e-01,9.836505739172484164e-01
