slip_ratio,normalized_fx
-1.000000000000000000e+00,-5.849897828828454216e-01
-9.979999999999999982e-01,-5.854253987144161231e-01
-9.959999999999999964e-01,-5.858623556551877387e-01
-9.939999999999999947e-01,-5.863006597028149747e-01
-9.919999999999999929e-01,-5.867403168891548448e-01
-9.899999999999999911e-01,-5.871813332804955987e-01
-9.879999999999999893e-01,-5.876237149777846502e-01
-9.859999999999999876e-01,-5.880674681168606144e-01
-9.839999999999999858e-01,-5.885125988686844556e-01
-9.819999999999999840e-01,-5.889591134395736338e-01
-9.799999999999999822e-01,-5.894070180714382490e-01
-9.779999999999999805e-01,-5.898563190420189617e-01
-9.759999999999999787e-01,-5.903070226651223606e-01
-9.739999999999999769e-01,-5.907591352908656557e-01
-9.719999999999999751e-01,-5.912126633059172631e-01
-9.699999999999999734e-01,-5.916676131337397226e-01
-9.679999999999999716e-01,-5.921239912348371659e-01
-9.659999999999999698e-01,-5.925818041070007869e-01
-9.639999999999999680e-01,-5.930410582855589752e-01
-9.619999999999999662e-01,-5.935017603436274491e-01
-9.599999999999999645e-01,-5.939639168923628310e-01
-9.579999999999999627e-01,-5.944275345812143341e-01
-9.559999999999999609e-01,-5.948926200981826673e-01
-9.539999999999999591e-01,-5.953591801700757191e-01
-9.519999999999999574e-01,-5.958272215627691271e-01
-9.499999999999999556e-01,-5.962967510814659589e-01
-9.479999999999999538e-01,-5.967677755709619447e-01
-9.459999999999999520e-01,-5.972403019159073789e-01
-9.439999999999999503e-01,-5.977143370410771261e-01
-9.419999999999999485e-01,-5.981898879116357426e-01
-9.399999999999999467e-01,-5.986669615334100358e-01
-9.379999999999999449e-01,-5.991455649531591821e-01
-9.359999999999999432e-01,-5.996257052588509495e-01
-9.339999999999999414e-01,-6.001073895799342584e-01
-9.319999999999999396e-01,-6.005906250876200669e-01
-9.299999999999999378e-01,-6.010754189951572624e-01
-9.279999999999999361e-01,-6.015617785581170995e-01
-9.260000000000000453e-01,-6.020497110746746428e-01
-9.240000000000000435e-01,-6.025392238858940930e-01
-9.220000000000000417e-01,-6.030303243760145593e-01
-9.200000000000000400e-01,-6.035230199727404932e-01
-9.180000000000000382e-01,-6.040173181475322339e-01
-9.160000000000000364e-01,-6.045132264158964430e-01
-9.140000000000000346e-01,-6.050107523376836438e-01
-9.120000000000000329e-01,-6.055099035173814315e-01
-9.100000000000000311e-01,-6.060106876044158986e-01
-9.080000000000000293e-01,-6.065131122934481755e-01
-9.060000000000000275e-01,-6.070171853246807414e-01
-9.040000000000000258e-01,-6.075229144841574058e-01
-9.020000000000000240e-01,-6.080303076040722843e-01
-9.000000000000000222e-01,-6.085393725630765527e-01
-8.980000000000000204e-01,-6.090501172865880886e-01
-8.960000000000000187e-01,-6.095625497471043319e-01
-8.940000000000000169e-01,-6.100766779645153681e-01
-8.920000000000000151e-01,-6.105925100064184541e-01
-8.900000000000000133e-01,-6.111100539884383176e-01
-8.880000000000000115e-01,-6.116293180745457914e-01
-8.860000000000000098e-01,-6.121503104773782233e-01
-8.840000000000000080e-01,-6.126730394585648831e-01
-8.820000000000000062e-01,-6.131975133290508140e-01
-8.800000000000000044e-01,-6.137237404494269022e-01
-8.780000000000000027e-01,-6.142517292302561716e-01
-8.760000000000000009e-01,-6.147814881324087377e-01
-8.739999999999999991e-01,-6.153130256673915444e-01
-8.719999999999999973e-01,-6.158463503976884246e-01
-8.699999999999999956e-01,-6.163814709370921685e-01
-8.679999999999999938e-01,-6.169183959510490256e-01
-8.659999999999999920e-01,-6.174571341569966565e-01
-8.639999999999999902e-01,-6.179976943247088572e-01
-8.619999999999999885e-01,-6.185400852766403945e-01
-8.599999999999999867e-01,-6.190843158882752828e-01
-8.579999999999999849e-01,-6.196303950884741729e-01
-8.559999999999999831e-01,-6.201783318598278472e-01
-8.539999999999999813e-01,-6.207281352390083828e-01
-8.519999999999999796e-01,-6.212798143171250898e-01
-8.499999999999999778e-01,-6.218333782400811138e-01
-8.479999999999999760e-01,-6.223888362089344817e-01
-8.459999999999999742e-01,-6.229461974802551483e-01
-8.439999999999999725e-01,-6.235054713664905934e-01
-8.419999999999999707e-01,-6.240666672363296419e-01
-8.399999999999999689e-01,-6.246297945150703912e-01
-8.379999999999999671e-01,-6.251948626849861412e-01
-8.359999999999999654e-01,-6.257618812856969859e-01
-8.339999999999999636e-01,-6.263308599145431810e-01
-8.319999999999999618e-01,-6.269018082269577352e-01
-8.299999999999999600e-01,-6.274747359368429978e-01
-8.279999999999999583e-01,-6.280496528169472459e-01
-8.259999999999999565e-01,-6.286265686992460466e-01
-8.240000000000000657e-01,-6.292054934753226192e-01
-8.220000000000000639e-01,-6.297864370967501957e-01
-8.200000000000000622e-01,-6.303694095754773796e-01
-8.180000000000000604e-01,-6.309544209842160578e-01
-8.160000000000000586e-01,-6.315414814568276469e-01
-8.140000000000000568e-01,-6.321306011887138920e-01
-8.120000000000000551e-01,-6.327217904372086643e-01
-8.100000000000000533e-01,-6.333150595219710910e-01
-8.080000000000000515e-01,-6.339104188253799066e-01
-8.060000000000000497e-01,-6.345078787929296915e-01
-8.040000000000000480e-01,-6.351074499336321066e-01
-8.020000000000000462e-01,-6.357091428204093564e-01
-8.000000000000000444e-01,-6.363129680905016405e-01
-7.980000000000000426e-01,-6.369189364458643920e-01
-7.960000000000000409e-01,-6.375270586535757289e-01
-7.940000000000000391e-01,-6.381373455462401312e-01
-7.920000000000000373e-01,-6.387498080223960040e-01
-7.900000000000000355e-01,-6.393644570469216859e-01
-7.880000000000000338e-01,-6.399813036514476750e-01
-7.860000000000000320e-01,-6.406003589347641913e-01
-7.840000000000000302e-01,-6.412216340632350686e-01
-7.820000000000000284e-01,-6.418451402712083143e-01
-7.800000000000000266e-01,-6.424708888614327762e-01
-7.780000000000000249e-01,-6.430988912054707018e-01
-7.760000000000000231e-01,-6.437291587441144047e-01
-7.740000000000000213e-01,-6.443617029878033753e-01
-7.720000000000000195e-01,-6.449965355170411696e-01
-7.700000000000000178e-01,-6.456336679828150737e-01
-7.680000000000000160e-01,-6.462731121070137696e-01
-7.660000000000000142e-01,-6.469148796828496639e-01
-7.640000000000000124e-01,-6.475589825752766648e-01
-7.620000000000000107e-01,-6.482054327214124001e-01
-7.600000000000000089e-01,-6.488542421309611008e-01
-7.580000000000000071e-01,-6.495054228866335988e-01
-7.560000000000000053e-01,-6.501589871445700997e-01
-7.540000000000000036e-01,-6.508149471347632886e-01
-7.520000000000000018e-01,-6.514733151614805484e-01
-7.500000000000000000e-01,-6.521341036036868433e-01
-7.479999999999999982e-01,-6.527973249154677138e-01
-7.459999999999999964e-01,-6.534629916264509397e-01
-7.439999999999999947e-01,-6.541311163422292019e-01
-7.419999999999999929e-01,-6.548017117447834101e-01
-7.399999999999999911e-01,-6.554747905929023677e-01
-7.379999999999999893e-01,-6.561503657226049890e-01
-7.359999999999999876e-01,-6.568284500475607413e-01
-7.339999999999999858e-01,-6.575090565595083092e-01
-7.319999999999999840e-01,-6.581921983286768141e-01
-7.299999999999999822e-01,-6.588778885042000377e-01
-7.279999999999999805e-01,-6.595661403145356427e-01
-7.259999999999999787e-01,-6.602569670678798408e-01
-7.239999999999999769e-01,-6.609503821525817280e-01
-7.219999999999999751e-01,-6.616463990375541782e-01
-7.199999999999999734e-01,-6.623450312726870681e-01
-7.179999999999999716e-01,-6.630462924892532861e-01
-7.159999999999999698e-01,-6.637501964003170718e-01
-7.139999999999999680e-01,-6.644567568011381375e-01
-7.119999999999999662e-01,-6.651659875695752344e-01
-7.099999999999999645e-01,-6.658779026664833900e-01
-7.079999999999999627e-01,-6.665925161361128115e-01
-7.059999999999999609e-01,-6.673098421065023489e-01
-7.039999999999999591e-01,-6.680298947898700712e-01
-7.019999999999999574e-01,-6.687526884830019558e-01
-6.999999999999999556e-01,-6.694782375676340269e-01
-6.979999999999999538e-01,-6.702065565108356049e-01
-6.959999999999999520e-01,-6.709376598653824519e-01
-6.939999999999999503e-01,-6.716715622701316946e-01
-6.919999999999999485e-01,-6.724082784503885302e-01
-6.899999999999999467e-01,-6.731478232182691590e-01
-6.879999999999999449e-01,-6.738902114730584980e-01
-6.859999999999999432e-01,-6.746354582015653412e-01
-6.839999999999999414e-01,-6.753835784784664176e-01
-6.819999999999999396e-01,-6.761345874666505606e-01
-6.799999999999999378e-01,-6.768885004175549946e-01
-6.779999999999999361e-01,-6.776453326714910741e-01
-6.759999999999999343e-01,-6.784050996579713555e-01
-6.739999999999999325e-01,-6.791678168960225692e-01
-6.719999999999999307e-01,-6.799334999944931512e-01
-6.699999999999999289e-01,-6.807021646523561120e-01
-6.679999999999999272e-01,-6.814738266590012472e-01
-6.659999999999999254e-01,-6.822485018945176893e-01
-6.639999999999999236e-01,-6.830262063299714637e-01
-6.619999999999999218e-01,-6.838069560276696102e-01
-6.599999999999999201e-01,-6.845907671414185325e-01
-6.579999999999999183e-01,-6.853776559167712445e-01
-6.559999999999999165e-01,-6.861676386912596293e-01
-6.539999999999999147e-01,-6.869607318946253649e-01
-6.519999999999999130e-01,-6.877569520490298682e-01
-6.499999999999999112e-01,-6.885563157692581315e-01
-6.480000000000000204e-01,-6.893588397629087927e-01
-6.460000000000000187e-01,-6.901645408305697726e-01
-6.440000000000000169e-01,-6.909734358659835873e-01
-6.420000000000000151e-01,-6.917855418561968950e-01
-6.400000000000000133e-01,-6.926008758816944999e-01
-6.380000000000000115e-01,-6.934194551165209219e-01
-6.360000000000000098e-01,-6.942412968283848684e-01
-6.340000000000000080e-01,-6.950664183787478301e-01
-6.320000000000000062e-01,-6.958948372228945800e-01
-6.300000000000000044e-01,-6.967265709099880189e-01
-6.280000000000000027e-01,-6.975616370831047020e-01
-6.260000000000000009e-01,-6.984000534792514925e-01
-6.239999999999999991e-01,-6.992418379293617869e-01
-6.219999999999999973e-01,-7.000870083582736436e-01
-6.199999999999999956e-01,-7.009355827846834863e-01
-6.179999999999999938e-01,-7.017875793210812674e-01
-6.159999999999999920e-01,-7.026430161736583191e-01
-6.139999999999999902e-01,-7.035019116421971086e-01
-6.119999999999999885e-01,-7.043642841199314608e-01
-6.099999999999999867e-01,-7.052301520933832446e-01
-6.079999999999999849e-01,-7.060995341421728577e-01
-6.059999999999999831e-01,-7.069724489388017341e-01
-6.039999999999999813e-01,-7.078489152484073177e-01
-6.019999999999999796e-01,-7.087289519284871719e-01
-5.999999999999999778e-01,-7.096125779285914481e-01
-5.979999999999999760e-01,-7.104998122899880419e-01
-5.959999999999999742e-01,-7.113906741452912241e-01
-5.939999999999999725e-01,-7.122851827180549655e-01
-5.919999999999999707e-01,-7.131833573223362865e-01
-5.899999999999999689e-01,-7.140852173622173060e-01
-5.879999999999999671e-01,-7.149907823312894317e-01
-5.859999999999999654e-01,-7.159000718121024676e-01
-5.839999999999999636e-01,-7.168131054755696452e-01
-5.820000000000000728e-01,-7.177299030803293567e-01
-5.800000000000000711e-01,-7.186504844720675855e-01
-5.780000000000000693e-01,-7.195748695827920427e-01
-5.760000000000000675e-01,-7.205030784300592295e-01
-5.740000000000000657e-01,-7.214351311161555369e-01
-5.720000000000000639e-01,-7.223710478272251656e-01
-5.700000000000000622e-01,-7.233108488323500840e-01
-5.680000000000000604e-01,-7.242545544825712556e-01
-5.660000000000000586e-01,-7.252021852098575749e-01
-5.640000000000000568e-01,-7.261537615260169609e-01
-5.620000000000000551e-01,-7.271093040215463876e-01
-5.600000000000000533e-01,-7.280688333644219634e-01
-5.580000000000000515e-01,-7.290323702988215082e-01
-5.560000000000000497e-01,-7.299999356437868459e-01
